69,3,3,■■ 課題1200 --- 単純なswitch文 ～ 月の日数を表示 ----------------------------
70,3,4,■■ 課題1400 --- breakを使わないswitch文 ～ この免許で運転できるのは？ -------
71,3,5,■■ 課題1500 --- breakを使う／使わない ～ 動きをランダムに指示 ---------------
72,3,6,■■ 課題1550 --- breakを使う／使わない ～ 動きをランダムに指示 を変更---------
73,3,7,■■ 課題1600 --- caseの中を複数文に ～ 絶対にコンピュータが勝つじゃんけん ----
74,3,8,■■ 課題1700 --- switch文のネスト ～ 料金判定 --------------------------------
75,3,9,■■ 課題1800 --- switch文のネスト ～ ガチンコでじゃんけん --------------------
76,3,10,■■ 課題1850 --- switch文のネスト ～ 少し込み入った料金判定 ------------------
77,3,11,■■ 課題1900 --- switch文での区間判定 ～ 割引表による決定 --------------------
78,3,12,■■ 課題2000 --- switch文での区間判定 ～ 割引表による判定 --------------------
79,4,1,■■ 課題1100 --- switch文の中にif文 ～ 月の日数を表示 をちょっと改善 ---------
80,5,1,■■ 課題1100 --- 単純なwhile文 ～ 数字を表示(for文と比較しよう) --------------
81,5,2,■■ 課題1200 --- 単純なwhile文 ～ 数字を表示(for文と比較しよう) --------------
82,5,3,■■ 課題1300 --- 単純なwhile文 ～ 数字を表示(for文と比較しよう) --------------
83,5,4,■■ 課題1400 --- 単純なwhile文 ～ 数字を表示(for文と比較しよう) --------------
84,5,5,■■ 課題1500 --- 単純なwhile文 ～ 数字を表示(for文と比較しよう) --------------
85,5,6,■■ 課題1600 --- 単純なwhile文 ～ 数字を表示(for文と比較しよう) --------------
86,5,7,■■ 課題1700 --- while文の使い処 ～ 0を入力するまで繰り返す ------------------
87,5,8,■■ 課題1800 --- while文の使い処 ～ 特定の値が出るまで繰り返す ---------------
88,5,9,■■ 課題1900 --- while文の使い処 ～ 条件が満たされるまで繰り返す -------------
89,5,10,■■ 課題2000 --- do～while文の使い処 ～ 最初の1回は必ず実行 ------------------
90,5,11,■■ 課題2100 --- while文の使い処 ～ 入力された文字を判定 ---------------------
91,5,12,■■ 課題2200 --- while文の使い処 ～ 数を当てる -------------------------------
92,5,13,■■ 課題2300 --- while文のネスト ～ 数当てを繰り返す -------------------------
93,5,14,■■ 課題2400 --- 10秒以内に何問の足し算を正答できるか ------------------------
94,5,15,■■ 課題2500 --- 10進数→2進数変換 -------------------------------------------
95,5,16,■■ 課題2600 --- 2進数→10進数変換 -------------------------------------------
96,5,17,■■ 課題5000 --- 無限級数 ----------------------------------------------------
97,6,1,■■ 課題1100 --- 単純なfor文 ～ 数字を表示 -----------------------------------
98,6,2,■■ 課題1200 --- 単純なfor文 ～ 数字を表示 -----------------------------------
99,6,3,■■ 課題1300 --- 単純なfor文 ～ 数字を表示 -----------------------------------
100,6,4,■■ 課題1400 --- 単純なfor文 ～ 数字を表示 -----------------------------------
101,6,5,■■ 課題1500 --- 単純なfor文 ～ 数字を表示 -----------------------------------
102,6,6,■■ 課題1600 --- 単純なfor文 ～ 数字を表示 -----------------------------------
103,6,7,■■ 課題1650 --- 単純なfor文 ～ 入力された数値の合計を計算 -------------------
104,6,8,■■ 課題1700 --- 単純なfor文 ～ 文字を表示 -----------------------------------
105,6,9,■■ 課題1720 --- for文のネスト ～ 文字を表示 ---------------------------------
106,6,10,■■ 課題1800 --- for文のネスト ～ 文字を表示 ---------------------------------
107,6,11,■■ 課題1900 --- for文のネスト ～ 九九表を表示 -------------------------------
108,6,12,■■ 課題2000 --- for文のネスト ～ sin波グラフを表示 --------------------------
109,6,13,■■ 課題5000 --- 極小の数値を加算する ----------------------------------------
110,6,14,■■ 課題5100 --- 0.1を繰り返し加算する ---------------------------------------
111,7,1,■■ 課題1100 --- for文の中にwhile文 ～ サイコロの特定の目が出るまでの回数 ----
112,7,2,■■ 課題1200 --- 秒カウンタ --------------------------------------------------
113,8,1,■■ 課題1000 --- 配列の内容を横並びに表示する --------------------------------
114,8,2,■■ 課題1020 --- 配列の内容を横並びに2行表示する -----------------------------
115,8,3,■■ 課題1100 --- 配列にデータを入れる ----------------------------------------
116,8,4,■■ 課題1120 --- 配列の任意のデータを表示する --------------------------------
117,8,5,■■ 課題1125 --- 配列の内容から特定の値を探す(線形探索) ----------------------
118,8,6,■■ 課題1130 --- 配列の任意の要素を削除する ----------------------------------
119,8,7,■■ 課題1140 --- 配列の任意の要素に値を挿入する ------------------------------
120,8,8,■■ 課題1150 --- 配列の内容を逆順にする --------------------------------------
121,8,9,■■ 課題1200 --- 配列の内容をシャッフルする ----------------------------------
122,8,10,■■ 課題1250 --- 配列の内容をシャッフルする別方法 ----------------------------
123,8,11,■■ 課題1500 --- 配列の内容を横並びに2行、値をずらして表示する ---------------
124,8,12,■■ 課題1600 --- 配列の内容を値をずらしながら横並びに表示する ----------------
125,8,13,■■ 課題1620 --- 配列内の最大値を最後尾に移動して、横並びに表示する ----------
126,8,14,■■ 課題1640 --- 入力された値を降順に並べながら配列に格納する ----------------
127,8,15,■■ 課題1700 --- 入力データから、上位データを収集する ------------------------
128,8,16,■■ 課題3000 --- 配列の内容を並び替える(挿入ソート) --------------------------
129,8,17,■■ 課題3100 --- 成績情報を並び替える ----------------------------------------
130,8,18,■■ 課題3120 --- 成績情報を並び替え、集計情報を表示する ----------------------
131,8,19,■■ 課題3200 --- 二次元配列を操作 ～ 左右反転 --------------------------------
132,8,20,■■ 課題3210 --- 二次元配列を操作 ～ 上下反転 --------------------------------
133,8,21,■■ 課題3220 --- 二次元配列を操作 ～ 斜め反転 --------------------------------
134,8,22,■■ 課題3230 --- 二次元配列を操作 ～ 90度回転 --------------------------------
135,9,1,■■ 課題0910 --- 2つの整数の最大公約数を求める(ユークリッドの互除法) ---------
136,9,2,■■ 課題1010 --- 整数が素数かどうかを調べる ----------------------------------
137,9,3,■■ 課題1020 --- ある整数より大きい整数のうち、最も小さい素数を探す ----------
138,9,4,■■ 課題1030 --- 整数がある素数で何回割れるかを表示する ----------------------
139,9,5,■■ 課題1040 --- 素因数分解をする --------------------------------------------
140,9,6,■■ 課題2000 --- 最大値を配列の左端に移動する --------------------------------
141,9,7,■■ 課題2003 --- トップ2の値を配列の左端に移動する ---------------------------
142,9,8,■■ 課題2005 --- バブルソート ------------------------------------------------
143,9,9,■■ 課題2010 --- 改良バブルソート --------------------------------------------
144,9,10,■■ 課題2013 --- 最大値の探索 ------------------------------------------------
145,9,11,■■ 課題2014 --- 最大値を配列の左端に移動する2 -------------------------------
146,9,12,■■ 課題2015 --- トップ2の値を配列の左端に移動する2 --------------------------
147,9,13,■■ 課題2020 --- 選択ソート --------------------------------------------------
148,9,14,■■ 課題2030 --- シェルソート(改良挿入ソート) --------------------------------
149,9,15,■■ 課題3000 --- 配列内容の左右どちらにあるかを表示 --------------------------
150,9,16,■■ 課題3003 --- 配列内容の左右の中の、さらに左右どちら側にあるかを表示 ------
151,9,17,■■ 課題3010 --- 配列の内容から特定の値を探す(二分探索) ----------------------
152,9,18,■■ 課題3013 --- 二分木構造を配列で表現する ----------------------------------
153,9,19,■■ 課題3015 --- 配列を二分探索木として、値を格納する ------------------------
154,9,20,■■ 課題3020 --- 二分探索木を使用した探索 ------------------------------------
155,9,21,■■ 課題3030 --- 二分探索木の内容を降順に表示 --------------------------------
156,9,22,■■ 課題3040 --- ハッシュ探索 ------------------------------------------------
157,9,23,■■ 課題3050 --- ハッシュ探索 ～ シノニム対策 --------------------------------
158,9,24,■■ 課題4000 --- 配列に順番にデータを入れる ----------------------------------
159,9,25,■■ 課題4010 --- 配列から逆順にデータを取り出す ------------------------------
160,9,26,■■ 課題4020 --- スタックを実現する ------------------------------------------
161,9,27,■■ 課題4050 --- 配列に順番にデータを入れる ----------------------------------
162,9,28,■■ 課題4060 --- 配列から順にデータを取り出す --------------------------------
163,9,29,■■ 課題4070 --- キュー(FIFO)を実現する --------------------------------------
164,9,30,■■ 課題5000 --- リストを辿る ------------------------------------------------
165,9,31,■■ 課題5010 --- リストを辿る ～ 歯抜けの配列 --------------------------------
166,9,32,■■ 課題5020 --- リストに追加する --------------------------------------------
167,9,33,■■ 課題5030 --- 任意のデータを任意の位置に追加する --------------------------
168,9,34,■■ 課題5040 --- リストから削除する ------------------------------------------
169,9,35,■■ 課題5050 --- 任意の位置のデータを削除する --------------------------------
170,9,36,■■ 課題5060 --- リスト構造の完成 --------------------------------------------
171,9,37,■■ 課題5070 --- 双方向リストへの拡張 ----------------------------------------
172,10,1,■■ 課題1010 --- 整数が素数かどうかを調べる ----------------------------------
173,10,2,■■ 課題1020 --- ある整数より大きい整数のうち、最も小さい素数を探す ----------
174,10,3,■■ 課題1030 --- 素因数分解をする --------------------------------------------
175,10,4,■■ 課題1110 --- じゃんけんプログラム ----------------------------------------
176,10,5,■■ 課題1210 --- カレンダーを表示する ----------------------------------------
177,10,6,■■ 課題2000 --- 標準APIのMathクラスにはないメソッドを持つクラスを作る -------
178,10,7,■■ 課題2010 --- スタックを実現するクラスを作る ------------------------------
179,10,8,■■ 課題2020 --- キューを実現するクラスを作る --------------------------------
180,10,9,■■ 課題5010 --- 迷路を解く --------------------------------------------------
181,11,1,■■ 課題1010 --- コンストラクタ ～ スタックを実現するクラスを改造する --------
